Material_homologado,Familia,Cantidad_base,Costo_base,Estado
Alic Punt 6 Mng Pl,Otros insumos,0.25,528.0975,Reconstruido/observado
Alm Esquinas,Otros insumos,0.5,1088.0533333333335,Reconstruido/observado
Alquiler puntales,Servicios,6.25,9375.0,Reconstruido/observado
Aluminio A/C 3X1 1,Otros insumos,0.25,352.875,Reconstruido/observado
"Amarra 4"" Blanca",Otros insumos,0.25,202.875,Reconstruido/observado
"Amarra 4"" Negra",Otros insumos,0.25,202.875,Reconstruido/observado
"Amarra 6"" Negra",Otros insumos,0.25,485.62000000000006,Reconstruido/observado
Amplificador Anten,Otros insumos,0.25,1537.61,Reconstruido/observado
"Anc Cuna 3/8X3""",Otros insumos,0.75,917.9175,Reconstruido/observado
Ancla Pop Togg 3/4,Otros insumos,1.25,404.205,Reconstruido/observado
Angular metálico,Estructura metálica,31.0,16778.55,Reconstruido/observado
Anillo 3/16 12-10A,Otros insumos,0.25,186.0625,Reconstruido/observado
Anteojo Seguridad Normal Lente Transparente,Otros insumos,0.25,325.2225,Reconstruido/observado
Anticorrosivo,Pintura,1.25,9333.131666666666,Reconstruido/observado
"Ar Presion 3 8"" 10",Otros insumos,0.25,68.585,Reconstruido/observado
Arena,Agregados,25.0,432497.33,Reconstruido/observado
Arom Arbol Royal P,Otros insumos,0.25,291.5925,Reconstruido/observado
Audifonos Sport Tw,Otros insumos,0.25,1901.3275,Reconstruido/observado
Azulejo / revestimiento cerámico,Pisos y enchapes,1.25,12727.505,Reconstruido/observado
Base Magnetica Aju,Otros insumos,0.25,991.3725,Reconstruido/observado
Bateria Aa 8 Pieza,Otros insumos,0.5,1546.46,Reconstruido/observado
Bateria Aa Alcal 8,Otros insumos,0.75,1708.7016666666666,Reconstruido/observado
Bateria Aaa Alcal,Otros insumos,0.5,1033.7749999999999,Reconstruido/observado
Bateria Alkalina Aa 1.5V Lr6 6014 Kodak Blister 2Und,Otros insumos,0.25,176.99,Reconstruido/observado
Bateria Alkalina Aaa 1.5V Lr03 6023 Kodak Blister 8Und,Otros insumos,0.25,641.5925,Reconstruido/observado
Bateria Alkalina Cuadrada 9V A1604-1 Rayovac,Otros insumos,0.25,752.2125,Reconstruido/observado
Bateria Litio 2032,Otros insumos,0.25,327.2125,Reconstruido/observado
Bateria Plana 1620,Otros insumos,0.25,285.62,Reconstruido/observado
Bateria Plana 2016,Otros insumos,0.25,112.61,Reconstruido/observado
Bisagra,Puertas y cerraduras,12.666666666666666,8630.953333333333,Reconstruido/observado
Block concreto 12x20x40,Mampostería,286.6666666666667,108790.93333333335,Reconstruido/observado
Block zacate 40x40x8,Exteriores,2.0,2918.0,Reconstruido/observado
Bo 1Kg Mecha De Me,Otros insumos,0.25,923.4525,Reconstruido/observado
Bolsa Boxeo Inflab,Otros insumos,0.25,461.0625,Reconstruido/observado
Bolsa Plast Desecho,Otros insumos,0.25,326.3275,Reconstruido/observado
Bolsa Reforzada Estanon Negra 105X145Cm 1Kg,Otros insumos,0.25,475.2475,Reconstruido/observado
Bolsa Reutilizable 3,Otros insumos,0.25,33.185,Reconstruido/observado
Bolsa Usopesado 25,Otros insumos,0.5,1554.455,Reconstruido/observado
Bombillo Opaco Corriente 100W 125V P17556 Sylvania,Otros insumos,0.75,325.22249999999997,Reconstruido/observado
Bon Prem Oro Gris,Otros insumos,0.5,4320.355,Reconstruido/observado
Bondex / adhesivo cementicio 25 kg,Adhesivos cerámicos,0.75,2620.5775,Reconstruido/observado
Bondex Plus 25 kg,Adhesivos cerámicos,29.75,130539.21166666667,Reconstruido/observado
Botaguas,Cubierta y cerramientos,3.0,10380.539999999999,Reconstruido/observado
Brazo Mini 60N,Otros insumos,0.25,214.38,Reconstruido/observado
Brida / flange sanitario,Plomería sanitaria,0.5,2066.6666666666665,Reconstruido/observado
"Broc Concr 5 16X5""",Otros insumos,0.5,384.955,Reconstruido/observado
Bungee 121.92Cm Ni,Otros insumos,0.25,981.6375000000002,Reconstruido/observado
"Bush Hg 3/4"" X 1/2",Otros insumos,1.25,283.1875,Reconstruido/observado
CPVC 1/2 in x 6 m,Plomería agua caliente,61.5,108630.76333333332,Reconstruido/observado
Cable THHN #10,Electricidad,60.0,30531.0,Reconstruido/observado
Cable THHN #2,Electricidad,7.5,25422.975000000002,Reconstruido/observado
Cable eléctrico,Electricidad,85.7,94388.10733333333,Reconstruido/observado
Caja eléctrica,Electricidad,0.75,8521.459166666666,Reconstruido/observado
Canaleta 16X10Mm,Otros insumos,0.25,309.2925,Reconstruido/observado
Candado / seguridad,Puertas y cerraduras,1.0,3974.633333333333,Reconstruido/observado
Canoa / bajante PVC,Plomería pluvial,10.0,11974.203333333333,Reconstruido/observado
Canoa alto caudal,Plomería pluvial,1.0,12955.453333333333,Reconstruido/observado
Canto PVC mobiliario,Carpintería y mobiliario,529.0,125636.21333333332,Reconstruido/observado
Cargador Portatil,Otros insumos,0.25,1537.61,Reconstruido/observado
Cargador Triple Ma,Otros insumos,0.25,2864.6024999999995,Reconstruido/observado
Carpintería / herraje (genérico),Carpintería y mobiliario,36.666666666666664,33725.613333333335,Reconstruido/observado
"Carro 3 8X6""",Otros insumos,0.25,64.16,Reconstruido/observado
Cedazo,Ferretería,0.25,1293.1425,Reconstruido/observado
Cemento Contaco 1/,Otros insumos,0.25,1204.8675,Reconstruido/observado
Cemento contacto,Adhesivos,2.25,4940.857499999999,Reconstruido/observado
Cemento gris 25 kg,Cemento y concretos,1.0,3716.81,Reconstruido/observado
Cemento gris 50 kg,Cemento y concretos,240.0,1372271.1500000001,Reconstruido/observado
Centro de carga / breaker,Electricidad,3.5,154155.30666666667,Reconstruido/observado
Cepillo Acero 3/4,Otros insumos,0.25,538.0525,Reconstruido/observado
Cepillo Para Banos,Otros insumos,0.5,1117.255,Reconstruido/observado
Cerrajería,Puertas y cerraduras,36.333333333333336,120460.19,Reconstruido/observado
Chocolate Choys Variado,Otros insumos,0.75,265.485,Reconstruido/observado
Chupon Plastico P/Be,Otros insumos,0.25,553.0975,Reconstruido/observado
Cielo suspendido / perfilería,Cielos,16.75,28371.480833333335,Reconstruido/observado
Cincel C-3/8X6 Truper,Otros insumos,0.25,263.275,Reconstruido/observado
Cinta eléctrica,Electricidad,2.25,5766.56,Reconstruido/observado
Cinta juntas gypsum/durock,Gypsum y liviano,1.25,5099.5625,Reconstruido/observado
Cinta masking,Pintura,7.25,16234.439166666669,Reconstruido/observado
Cinta teflón,Plomería,5.75,1944.0533333333333,Reconstruido/observado
Clavo,Ferretería,875.25,47725.3225,Reconstruido/observado
"Cobre 1/4"" Cab 8Aw",Otros insumos,0.25,30.9725,Reconstruido/observado
"Cobre 5/16"" Cab 6A",Otros insumos,0.25,34.2925,Reconstruido/observado
Coca Cola Ori 600M,Otros insumos,0.25,242.25750000000002,Reconstruido/observado
Cocina Parche 50A,Otros insumos,0.25,561.0625,Reconstruido/observado
Codo sanitario,Plomería sanitaria,19.0,22823.88333333333,Reconstruido/observado
Cola Blanca Pnt,Otros insumos,0.25,675.0,Reconstruido/observado
Concreto Cenicero 4 Previstas,Otros insumos,0.25,1011.2225,Reconstruido/observado
Conduit / accesorio,Electricidad,59.25,43501.388333333336,Reconstruido/observado
Conduit 1/2 in,Electricidad,170.75,107227.34333333334,Reconstruido/observado
Conduit 2 in,Electricidad,8.0,29326.67333333333,Reconstruido/observado
Conduit 3/4 in,Electricidad,34.75,37705.17166666667,Reconstruido/observado
Conduit eléctrico,Electricidad,70.25,85953.87916666667,Reconstruido/observado
Conector eléctrico,Electricidad,51.5,18835.515000000003,Reconstruido/observado
Consumible / herramienta de obra,Ferretería,21.75,24596.166666666668,Reconstruido/observado
Cord Spt #14 Blanc,Otros insumos,0.75,287.3925,Reconstruido/observado
Cord Spt #16 Negro,Otros insumos,0.75,195.135,Reconstruido/observado
Cornisa PVC,Acabados,2.5,6841.598333333332,Reconstruido/observado
Corte / mecanizado mobiliario,Carpintería y mobiliario,197.33333333333334,73824.36666666668,Reconstruido/observado
"Ct Enm Mp 1"" X 25M",Otros insumos,1.75,1324.12,Reconstruido/observado
Cubo 10 Mm Esp 1/2 Berent,Otros insumos,0.25,322.1425,Reconstruido/observado
Cubo 13Mm Esp 1/2 Berent,Otros insumos,0.25,331.8575,Reconstruido/observado
Cubo 16 Mm Esp 1/2 Berent,Otros insumos,0.25,353.9825,Reconstruido/observado
Cubo Magnetico 3/8,Otros insumos,0.25,303.76,Reconstruido/observado
Cubo Magnetico Tec,Otros insumos,0.5,633.185,Reconstruido/observado
"Cubo Techo 3/8""",Otros insumos,0.25,100.0,Reconstruido/observado
Cubre Boc Hipoal 5,Otros insumos,0.5,428.32,Reconstruido/observado
"Cuchara Albanil 9""",Otros insumos,0.25,605.53,Reconstruido/observado
Cuerda Pesca 1.0Mm,Otros insumos,0.25,425.885,Reconstruido/observado
Decor Placa Cocina,Otros insumos,0.5,361.945,Reconstruido/observado
Densglass 12 mm,Gypsum y liviano,4.75,73519.1775,Reconstruido/observado
Diana Quesito Pequeno,Otros insumos,0.25,105.08750000000002,Reconstruido/observado
Dis Flap 4-1/2 G 8,Otros insumos,0.25,190.265,Reconstruido/observado
Dnflex 230 Negro 3,Otros insumos,0.5,1665.93,Reconstruido/observado
Doble Bl Aguila Su,Otros insumos,0.75,500.29749999999996,Reconstruido/observado
Ducha,Sanitarios,3.0,140232.74,Reconstruido/observado
Duretan / sellador juntas,Selladores,3.75,19725.9575,Reconstruido/observado
EPP / protección,Seguridad obra,3.0,3259.593333333333,Reconstruido/observado
Elec #1 4 11 2 2X6,Otros insumos,0.25,2721.0175,Reconstruido/observado
Empaque De Cera Co,Otros insumos,1.0,1135.1033333333332,Reconstruido/observado
Empaque De Cera Se,Otros insumos,0.25,202.655,Reconstruido/observado
Empaque Wc,Otros insumos,0.25,110.62,Reconstruido/observado
Enchufe / apagador,Electricidad,10.5,11797.031666666668,Reconstruido/observado
Envase 1 4G,Otros insumos,0.25,327.4325,Reconstruido/observado
Epoxi Mil 98 Grs,Otros insumos,0.25,733.185,Reconstruido/observado
Epoximil Loctite 98 Grs // 201-J,Otros insumos,0.25,697.5675,Reconstruido/observado
Escoba Jumbo Eterna,Otros insumos,0.25,953.54,Reconstruido/observado
Escoba Super Diana,Otros insumos,0.25,519.8025,Reconstruido/observado
Escoba Superior No,Otros insumos,0.5,1348.0200000000002,Reconstruido/observado
Escobon Barrendero,Otros insumos,0.25,1372.5675,Reconstruido/observado
"Escuadra 4""X5"" Bl",Otros insumos,0.5,295.575,Reconstruido/observado
Espander Plastico #8 Blister 10Und,Otros insumos,0.25,51.99,Reconstruido/observado
Espatul Mgo Plast,Otros insumos,0.25,184.07000000000002,Reconstruido/observado
Esponja Expandible,Otros insumos,0.25,262.1675,Reconstruido/observado
Esponja P/Lavado Aut,Otros insumos,0.5,442.48,Reconstruido/observado
Esponja Para Coche,Otros insumos,0.25,392.7,Reconstruido/observado
Esq Ext Can Alto C,Otros insumos,0.25,857.08,Reconstruido/observado
Esquina canoa alto caudal,Plomería pluvial,0.25,862.39,Reconstruido/observado
Esterilizador Port,Otros insumos,0.75,1028.76,Reconstruido/observado
"Estufa R 1 4X1 2""",Otros insumos,0.25,153.0975,Reconstruido/observado
"Estufa R 5 32X3 4""",Otros insumos,0.25,139.16,Reconstruido/observado
Ext 1.5M Spt 2X16,Otros insumos,0.25,279.8675,Reconstruido/observado
Ext 3M Spt 2X16 Bl,Otros insumos,0.75,1423.6725,Reconstruido/observado
Ext 5M Spt 2X16 Ca,Otros insumos,0.25,661.0625,Reconstruido/observado
Extension 1.6 A 3M,Otros insumos,0.25,1130.53,Reconstruido/observado
"Extension Cubo 5"" Espiga 1/2"" Heb12051 Ingco",Otros insumos,0.25,641.5925,Reconstruido/observado
Extrac B 4 Sil 10,Otros insumos,0.25,3586.9475,Reconstruido/observado
Extractor / ventilación,Ventilación,0.5,7609.883333333334,Reconstruido/observado
Fibra Morado 6X 9,Otros insumos,0.25,468.1425,Reconstruido/observado
Fibra Morado 6X 9.,Otros insumos,0.25,467.035,Reconstruido/observado
Fino Bco Extremo 2,Otros insumos,0.25,369.9125000000001,Reconstruido/observado
Flete / transporte,Servicios,0.5,5194.69,Reconstruido/observado
Fragüa / boquilla,Pisos y enchapes,0.75,2555.3108333333334,Reconstruido/observado
Fragüa / grout fino,Pisos y enchapes,4.0,5744.546666666666,Reconstruido/observado
Fragüa 3 kg,Pisos y enchapes,6.75,17860.567500000005,Reconstruido/observado
Franela Blanca Metro,Otros insumos,0.25,737.5,Reconstruido/observado
Fregadero,Cocina,0.5,25368.73,Reconstruido/observado
Fuze Verd Zero 500,Otros insumos,0.5,307.52,Reconstruido/observado
Gas butano,Consumibles,4.5,8346.165,Reconstruido/observado
"Gaza P/Varil 5/8""",Otros insumos,0.25,225.4425,Reconstruido/observado
"Gaza Sin Fin Inox 1""",Otros insumos,0.25,154.8675,Reconstruido/observado
"Gaza Sin Fin Inox 5/8""",Otros insumos,0.5,235.265,Reconstruido/observado
"Gaza Ul 3/4"" Varil",Otros insumos,0.25,444.9125000000001,Reconstruido/observado
Grasa Multiuso 1/16,Otros insumos,0.25,396.77,Reconstruido/observado
Grifería,Sanitarios,2.25,23562.388333333336,Reconstruido/observado
Grifería lavamanos,Sanitarios,0.25,1260.84,Reconstruido/observado
Grifo Monomando 1/,Otros insumos,0.25,634.2925,Reconstruido/observado
Gypsum 12 mm 1.22x2.44,Gypsum y liviano,4.5,24332.265,Reconstruido/observado
Herraje mobiliario,Carpintería y mobiliario,97.66666666666667,62455.99666666667,Reconstruido/observado
"Hex G2 3 8X2 1 2""",Otros insumos,0.5,219.47,Reconstruido/observado
Hex-9 Multiconstru,Otros insumos,0.25,492.4775,Reconstruido/observado
Hi C Te Limon 330M,Otros insumos,0.75,398.2275,Reconstruido/observado
Hi-C Melocoton 250,Otros insumos,0.25,109.5125,Reconstruido/observado
Hoja Segueta 24 Dp,Otros insumos,0.25,186.505,Reconstruido/observado
Hoja Snap-Off Rep,Otros insumos,0.25,635.84,Reconstruido/observado
Holder Xo-C101,Otros insumos,0.25,1150.4425,Reconstruido/observado
Iluminación LED,Electricidad,8.75,77266.91416666667,Reconstruido/observado
Inodoro,Sanitarios,2.6666666666666665,102373.48666666665,Reconstruido/observado
Interruptor / toma / caja eléctrica,Electricidad,11.5,21261.803333333333,Reconstruido/observado
J. Embutida/64 Nsc,Otros insumos,1.5,1477.4399999999998,Reconstruido/observado
J. Secretarial/86,Otros insumos,1.75,2892.9249999999997,Reconstruido/observado
Jugo Durazno 330Ml,Otros insumos,0.5,190.71,Reconstruido/observado
Kit Inicio Cargado,Otros insumos,0.25,4171.0175,Reconstruido/observado
Kromchitos 90Grs,Otros insumos,0.25,110.62,Reconstruido/observado
Lap Carp Lyra Amar,Otros insumos,0.25,101.5475,Reconstruido/observado
Lap Carp Rojo Lyra,Otros insumos,0.5,184.955,Reconstruido/observado
Laro Ma Wen Osc 1/,Otros insumos,0.25,1507.7425,Reconstruido/observado
Lavadero,Sanitarios,0.25,11864.159999999998,Reconstruido/observado
Lavamanos,Sanitarios,2.0,48174.630000000005,Reconstruido/observado
Lija,Pintura y acabados,77.5,29670.646666666667,Reconstruido/observado
Limpia Piso. Nit 1,Otros insumos,0.25,1088.275,Reconstruido/observado
Limpiador Mult 750,Otros insumos,0.25,751.105,Reconstruido/observado
Limpiador Parabrisas,Otros insumos,0.25,1061.9475,Reconstruido/observado
"Lla Cho Ros 1/2""",Otros insumos,0.25,823.0099999999999,Reconstruido/observado
Llave / válvula hidráulica,Plomería,14.75,63691.560833333344,Reconstruido/observado
Lm Blanco 16Mm Fp,Otros insumos,0.25,4091.815,Reconstruido/observado
Lona / protección,Protección de obra,0.5,4251.328333333334,Reconstruido/observado
Luminaria colgante,Electricidad,0.75,12046.462500000001,Reconstruido/observado
Luminaria empotrable,Electricidad,7.75,86445.96666666667,Reconstruido/observado
Lámina gypsum 12 mm,Gypsum y liviano,67.5,174494.80000000002,Reconstruido/observado
Lámina metálica / Metalum,Cubierta y techo,2.25,7017.251666666667,Reconstruido/observado
Lámina policarbonato,Cubierta y cerramientos,0.8333333333333334,9911.278333333334,Reconstruido/observado
Lámina techo ondulada #26,Cubierta y techo,4.0,20870.2,Reconstruido/observado
Lámina techo ondulada #28,Cubierta y techo,61.666666666666664,335493.5366666667,Reconstruido/observado
M M S Chocolate 45 Grs,Otros insumos,0.5,221.24,Reconstruido/observado
Madera formaleta,Madera,10.0,23008.800000000003,Reconstruido/observado
Madera laurel,Madera,28.5,9268.406666666668,Reconstruido/observado
Madera pino,Madera,34.25,96007.5425,Reconstruido/observado
Madera semiduro,Madera,6.0,16162.86,Reconstruido/observado
Malco Tru-Grit Polish Reenvasado,Otros insumos,0.25,1500.0,Reconstruido/observado
Malla electrosoldada,Acero refuerzo,4.0,52841.246666666666,Reconstruido/observado
Malla sarán,Protección de obra,33.25,22531.560833333337,Reconstruido/observado
Manguera / abasto flexible,Plomería,3.5,6889.086666666666,Reconstruido/observado
Manguera Jardin Reforzada Roja 4 Capas 20Mts Man-20X1/2X Tr,Otros insumos,0.25,2747.7875,Reconstruido/observado
Mani Alm Caramel 5,Otros insumos,0.25,220.13250000000002,Reconstruido/observado
Manta 152X178 Cm,Otros insumos,0.25,2131.6375,Reconstruido/observado
Mar Cur 16Oz Fvm B,Otros insumos,0.25,792.7000000000002,Reconstruido/observado
Marco metálico puerta,Puertas y cerraduras,0.6666666666666666,17699.123333333333,Reconstruido/observado
Marco puerta,Puertas y cerraduras,2.0,38899.99333333333,Reconstruido/observado
Mart Mini 8Oz Mng,Otros insumos,0.25,674.3375,Reconstruido/observado
Mazo Hul Ng 16Oz M,Otros insumos,0.25,575.4425,Reconstruido/observado
Mecate / cuerda albañil,Ferretería,0.25,918.1425,Reconstruido/observado
Medidor de agua / caja,Plomería potable,3.5,54834.51333333333,Reconstruido/observado
Melamina,Carpintería y mobiliario,404.6666666666667,642468.28,Reconstruido/observado
Melamina / tablero,Carpintería y mobiliario,1.3333333333333333,37507.07666666667,Reconstruido/observado
Metal / perfil (genérico),Estructura metálica,18.75,40580.644166666665,Reconstruido/observado
"Mini Rasp 1 13 16""",Otros insumos,0.5,429.205,Reconstruido/observado
Moldura / esquinero,Acabados,45.25,35491.176666666666,Reconstruido/observado
Mono 1/2Xm10,Otros insumos,1.0,2573.45,Reconstruido/observado
Mortero cerámica 20 kg,Adhesivos cerámicos,6.25,24059.75,Reconstruido/observado
Mortero pega 20 kg,Adhesivos cerámicos,2.5,8827.425,Reconstruido/observado
Mortero pega porcelanato 20 kg,Adhesivos cerámicos,7.5,30199.125,Reconstruido/observado
Mortero repello,Morteros,61.25,226268.645,Reconstruido/observado
Mortero repello fino 40 kg,Morteros,5.5,23318.586666666666,Reconstruido/observado
Mortero repello grueso 40 kg,Morteros,61.0,213150.0,Reconstruido/observado
Mrco Flpa 5Hil 9,Otros insumos,1.0,1482.89,Reconstruido/observado
Mueble de baño,Sanitarios,0.5,25103.245,Reconstruido/observado
Multi-Flex #180 4X,Otros insumos,1.0,769.0300000000001,Reconstruido/observado
"Multiconst 5/16"" X",Otros insumos,0.25,594.69,Reconstruido/observado
Muro Seco Blanco 2,Otros insumos,0.25,1155.31,Reconstruido/observado
Muro seco 20 kg,Morteros,1.0,3961.06,Reconstruido/observado
Niple / accesorio HG,Plomería,14.5,9173.438333333334,Reconstruido/observado
PVC presión SCH40 1/2 in x 6 m,Plomería potable,56.75,65076.888333333336,Reconstruido/observado
PVC sanitario 2 in x 6 m,Plomería sanitaria,7.25,56637.255833333336,Reconstruido/observado
PVC sanitario 4 in x 6 m,Plomería sanitaria,7.0,94573.56,Reconstruido/observado
Paleta Mango Marac,Otros insumos,0.25,308.6275,Reconstruido/observado
Palitos Jl 1.84Oz,Otros insumos,0.25,514.38,Reconstruido/observado
Panel / tablilla PVC,Acabados,5.5,17493.646666666667,Reconstruido/observado
Papiolas Deluxe 75G,Otros insumos,0.25,220.13250000000002,Reconstruido/observado
Para Plastica C/Ni,Otros insumos,0.5,485.84,Reconstruido/observado
Pasta / masilla gypsum,Gypsum y liviano,4.75,60083.77666666667,Reconstruido/observado
Pegamento PVC,Plomería,1.75,22971.30833333333,Reconstruido/observado
Perfil C galvanizado,Estructura metálica,15.25,85171.9775,Reconstruido/observado
Perfil gypsum canal cielo,Gypsum y liviano,24.5,31920.22333333333,Reconstruido/observado
Perfil gypsum furring,Gypsum y liviano,73.25,49838.454999999994,Reconstruido/observado
Perfil gypsum stud,Gypsum y liviano,23.0,20569.37,Reconstruido/observado
Perfil gypsum track,Gypsum y liviano,22.75,19384.1775,Reconstruido/observado
Perfil policarbonato,Cubierta y cerramientos,1.3333333333333333,12850.269999999999,Reconstruido/observado
Piedra / agregado,Agregados,17.0,268267.26999999996,Reconstruido/observado
Piedra quintilla,Agregados,2.0,29720.36,Reconstruido/observado
Pintura / laca / tinte,Pintura,5.25,16623.591666666667,Reconstruido/observado
Pintura / recubrimiento,Pintura,3.0,178343.9521333333,Reconstruido/observado
Pintura Goltex,Pintura,1.0,15000.0,Reconstruido/observado
Pintura Sur / Lanco,Pintura,0.5,6017.848333333334,Reconstruido/observado
"Plastico Paletizar 6"" X 430 Pies",Otros insumos,0.25,858.4074999999999,Reconstruido/observado
Platano Verde Con Limon Pro,Otros insumos,0.5,145.19,Reconstruido/observado
Platina metálica,Estructura metálica,0.25,3752.2125,Reconstruido/observado
Plástico construcción,Protección de obra,9.0,5741.013333333333,Reconstruido/observado
Policarbonato 8 mm,Cubierta y cerramientos,2.3333333333333335,98543.43666666666,Reconstruido/observado
Polishing 298Ml,Otros insumos,0.25,783.85,Reconstruido/observado
Porcelanato / piso,Pisos y enchapes,170.84666666666666,837837.0624666667,Reconstruido/observado
Poxilina 38Ml,Otros insumos,0.25,489.6025,Reconstruido/observado
Protección personal,Seguridad obra,0.75,2371.4616666666666,Reconstruido/observado
Puerta,Puertas y cerraduras,6.0,275328.25,Reconstruido/observado
Punt Diam Grav 5 6,Otros insumos,0.25,463.49500000000006,Reconstruido/observado
Punta Para Atornil,Otros insumos,0.25,344.2475,Reconstruido/observado
"Punta Philips 2"" Shockwave 48-32-4862 Milwaukee",Otros insumos,0.5,482.3,Reconstruido/observado
Punta Phillips Dob,Otros insumos,0.25,180.0875,Reconstruido/observado
"Re 1-1/2X3/4"" Sch4",Otros insumos,0.75,376.98749999999995,Reconstruido/observado
Recubrimiento / pintura (genérico),Pintura,3.5,5575.959999999999,Reconstruido/observado
Red De Carga Con 1,Otros insumos,0.25,2055.31,Reconstruido/observado
Reducción sanitaria,Plomería sanitaria,8.75,18466.50916666667,Reconstruido/observado
Rej Desg 4X4 Concn,Otros insumos,0.5,1227.875,Reconstruido/observado
Rejilla pluvial alto caudal,Plomería pluvial,1.0,4910.62,Reconstruido/observado
Repello fino 40 kg,Morteros,0.25,1233.85,Reconstruido/observado
Repuesto Mopa 60 C,Otros insumos,0.25,1947.7874999999997,Reconstruido/observado
Revestimiento,Pintura y revestimientos,10.0,38682.87666666667,Reconstruido/observado
Riel / soporte mobiliario,Carpintería y mobiliario,10.666666666666666,44327.73666666667,Reconstruido/observado
Rod C/Ext 43A98Cm,Otros insumos,0.25,1003.7599999999999,Reconstruido/observado
Rodapié,Pisos y enchapes,5.0,22788.48,Reconstruido/observado
"Rodin F 11/2"" 30Kg",Otros insumos,0.5,817.255,Reconstruido/observado
"Rodin G 1 1/2"" 35K",Otros insumos,0.5,1039.825,Reconstruido/observado
Rollo Agricola 1Kg,Otros insumos,0.5,1188.055,Reconstruido/observado
Rueda Hule 3/8 Dia,Otros insumos,0.5,3936.285,Reconstruido/observado
Segueta 10 Alumini,Otros insumos,0.25,704.8675,Reconstruido/observado
Sellador concreto,Pintura,5.5,280059.2966666667,Reconstruido/observado
Semiduro madera,Madera,213.0,514566.8366666666,Reconstruido/observado
Sencillo 20A 125-2,Otros insumos,0.25,286.2825,Reconstruido/observado
Servicio mobiliario,Carpintería y mobiliario,0.3333333333333333,166.66666666666666,Reconstruido/observado
Set 2 Lingas 500 K,Otros insumos,0.25,739.6025,Reconstruido/observado
Set Emp P Cache Fr,Otros insumos,0.25,249.5575,Reconstruido/observado
Set Payaso Tirantes,Otros insumos,0.25,658.185,Reconstruido/observado
Shampoo P/Autos C/Ce,Otros insumos,0.25,752.2125,Reconstruido/observado
Sifón sanitario,Plomería sanitaria,5.75,20610.525833333333,Reconstruido/observado
Sistema Superblock,Sistema constructivo,2.3333333333333335,4473790.883333334,Reconstruido/observado
Socket Fijo De Porcelana Rosca E-12 U,Otros insumos,0.25,77.4325,Reconstruido/observado
"Sold 6013 1/8"" Lin",Otros insumos,0.5,1366.37,Reconstruido/observado
Soldadura,Estructura metálica,1.75,10914.4525,Reconstruido/observado
Soport Movil Tv 14-37 Hasta 35 Kg,Otros insumos,0.25,1412.745,Reconstruido/observado
Spray 2X Blnco Bri,Otros insumos,0.25,748.6725,Reconstruido/observado
Sur Nit Intensaclean Expert,Otros insumos,0.5,2598.8216666666667,Reconstruido/observado
T Secundari 122Cm,Otros insumos,1.0,557.52,Reconstruido/observado
T Segundari 61Cm,Otros insumos,1.0,283.19,Reconstruido/observado
"T.A. 1/2X1/2 "" 60C",Otros insumos,1.25,1628.3125,Reconstruido/observado
T.A. 1/2X1/2 40Cm,Otros insumos,0.25,424.78,Reconstruido/observado
